time,msg-rate-per-second[kafka-to-snowflake],msg-megabytes-in-per-second[kafka-to-snowflake],msg-megabytes-out-per-second[kafka-to-snowflake]
2025-04-17T16:28:47Z,0.000000,0.000000,0.000000
2025-04-17T16:28:48Z,0.000000,0.000000,0.000000
2025-04-17T16:28:49Z,0.000000,0.000000,0.000000
2025-04-17T16:28:50Z,0.000000,5.976109,0.000000
2025-04-17T16:28:51Z,0.000000,0.000000,0.000000
2025-04-17T16:28:52Z,0.000000,0.000000,0.000000
2025-04-17T16:28:53Z,0.000000,0.000000,0.000000
2025-04-17T16:28:54Z,0.000000,0.000000,0.000000
2025-04-17T16:28:55Z,0.000000,0.000000,0.000000
2025-04-17T16:28:56Z,0.000000,0.000000,0.000000
2025-04-17T16:28:57Z,75600.000000,8.010864,6.977472
2025-04-17T16:28:58Z,0.000000,0.000000,0.000000
2025-04-17T16:28:59Z,0.000000,0.000000,0.000000
2025-04-17T16:29:00Z,0.000000,0.000000,0.000000
2025-04-17T16:29:01Z,0.000000,0.000000,0.000000
2025-04-17T16:29:02Z,0.000000,0.000000,0.000000
2025-04-17T16:29:03Z,0.000000,0.000000,0.000000
2025-04-17T16:29:04Z,100000.000000,8.010864,9.441376
2025-04-17T16:29:05Z,0.000000,0.000000,0.000000
2025-04-17T16:29:06Z,0.000000,0.000000,0.000000
2025-04-17T16:29:07Z,0.000000,0.000000,0.000000
2025-04-17T16:29:08Z,0.000000,0.000000,0.000000
2025-04-17T16:29:09Z,0.000000,0.000000,0.000000
2025-04-17T16:29:10Z,0.000000,0.000000,0.000000
2025-04-17T16:29:11Z,0.000000,0.000000,0.000000
2025-04-17T16:29:12Z,100000.000000,8.010864,9.441376
2025-04-17T16:29:13Z,0.000000,0.000000,0.000000
2025-04-17T16:29:14Z,0.000000,0.000000,0.000000
2025-04-17T16:29:15Z,0.000000,0.000000,0.000000
2025-04-17T16:29:16Z,0.000000,0.000000,0.000000
2025-04-17T16:29:17Z,0.000000,0.000000,0.000000
2025-04-17T16:29:18Z,0.000000,0.000000,0.000000
2025-04-17T16:29:19Z,100000.000000,8.010864,9.441376
2025-04-17T16:29:20Z,0.000000,0.000000,0.000000
2025-04-17T16:29:21Z,0.000000,0.000000,0.000000
2025-04-17T16:29:22Z,0.000000,0.000000,0.000000
2025-04-17T16:29:23Z,0.000000,0.000000,0.000000
2025-04-17T16:29:24Z,0.000000,0.000000,0.000000
2025-04-17T16:29:25Z,0.000000,0.000000,0.000000
2025-04-17T16:29:26Z,100000.000000,8.010864,9.441376
2025-04-17T16:29:27Z,0.000000,0.000000,0.000000
2025-04-17T16:29:28Z,0.000000,0.000000,0.000000
2025-04-17T16:29:29Z,0.000000,0.000000,0.000000
2025-04-17T16:29:30Z,0.000000,0.000000,0.000000
2025-04-17T16:29:31Z,0.000000,0.000000,0.000000
2025-04-17T16:29:32Z,0.000000,0.000000,0.000000
2025-04-17T16:29:33Z,100000.000000,8.010864,9.441376
2025-04-17T16:29:34Z,0.000000,0.000000,0.000000
2025-04-17T16:29:35Z,0.000000,0.000000,0.000000
2025-04-17T16:29:36Z,0.000000,0.000000,0.000000
2025-04-17T16:29:37Z,0.000000,0.000000,0.000000
2025-04-17T16:29:38Z,0.000000,0.000000,0.000000
2025-04-17T16:29:39Z,0.000000,0.000000,0.000000
2025-04-17T16:29:40Z,100000.000000,8.010864,9.441376
2025-04-17T16:29:41Z,0.000000,0.000000,0.000000
2025-04-17T16:29:42Z,0.000000,0.000000,0.000000
2025-04-17T16:29:43Z,0.000000,0.000000,0.000000
2025-04-17T16:29:44Z,0.000000,0.000000,0.000000
2025-04-17T16:29:45Z,0.000000,0.000000,0.000000
