time,msg-rate-in-per-second[snowflake.test.users],msg-megabytes-in-per-second[snowflake.test.users],msg-megabytes-out-per-second[snowflake.test.users]
2025-04-17T16:30:42Z,186863.788000,17.147890,3.012000
2025-04-17T16:30:43Z,222198.000000,19.634654,5.000000
2025-04-17T16:30:44Z,248820.000000,21.927183,6.000000
2025-04-17T16:30:45Z,121104.000000,11.228714,6.000000
2025-04-17T16:30:46Z,206326.000000,19.450794,6.000000
2025-04-17T16:30:47Z,393880.000000,35.102139,6.000000
2025-04-17T16:30:48Z,284832.000000,26.174698,7.000000
2025-04-17T16:30:49Z,279328.000000,24.679001,6.000000
2025-04-17T16:30:50Z,283800.000000,25.956575,7.000000
2025-04-17T16:30:51Z,274340.000000,24.756902,6.000000
2025-04-17T16:30:52Z,269696.000000,24.819222,7.000000
2025-04-17T16:30:53Z,286896.000000,25.567071,6.000000
2025-04-17T16:30:54Z,281220.000000,25.489170,7.000000
2025-04-17T16:30:55Z,275888.000000,25.068505,7.000000
2025-04-17T16:30:56Z,247121.000000,21.543489,6.000000
2025-04-17T16:30:57Z,0.000000,0.000000,7.000000
2025-04-17T16:30:58Z,0.000000,0.000000,7.000000
2025-04-17T16:30:59Z,0.000000,0.000000,7.000000
2025-04-17T16:31:00Z,0.000000,0.000000,7.000000
2025-04-17T16:31:01Z,0.000000,0.000000,6.000000
2025-04-17T16:31:02Z,0.000000,0.000000,7.000000
2025-04-17T16:31:03Z,0.000000,0.000000,7.000000
2025-04-17T16:31:04Z,0.000000,0.000000,7.000000
2025-04-17T16:31:05Z,0.000000,0.000000,6.000000
2025-04-17T16:31:06Z,0.000000,0.000000,7.000000
2025-04-17T16:31:07Z,0.000000,0.000000,6.000000
2025-04-17T16:31:08Z,0.000000,0.000000,7.000000
2025-04-17T16:31:09Z,0.000000,0.000000,7.000000
2025-04-17T16:31:10Z,0.000000,0.000000,7.000000
2025-04-17T16:31:11Z,0.000000,0.000000,7.000000
2025-04-17T16:31:12Z,0.000000,0.000000,7.000000
2025-04-17T16:31:13Z,0.000000,0.000000,7.000000
2025-04-17T16:31:14Z,0.000000,0.000000,7.000000
2025-04-17T16:31:15Z,0.000000,0.000000,7.000000
2025-04-17T16:31:16Z,0.000000,0.000000,6.000000
2025-04-17T16:31:17Z,0.000000,0.000000,7.000000
2025-04-17T16:31:18Z,0.000000,0.000000,7.000000
2025-04-17T16:31:19Z,0.000000,0.000000,7.000000
2025-04-17T16:31:20Z,0.000000,0.000000,7.000000
2025-04-17T16:31:21Z,0.000000,0.000000,6.000000
2025-04-17T16:31:22Z,0.000000,0.000000,7.000000
2025-04-17T16:31:23Z,0.000000,0.000000,7.000000
2025-04-17T16:31:24Z,0.000000,0.000000,7.000000
2025-04-17T16:31:25Z,0.000000,0.000000,7.000000
2025-04-17T16:31:26Z,0.000000,0.000000,7.000000
2025-04-17T16:31:27Z,0.000000,0.000000,7.000000
2025-04-17T16:31:28Z,0.000000,0.000000,7.000000
2025-04-17T16:31:29Z,0.000000,0.000000,6.000000
2025-04-17T16:31:30Z,0.000000,0.000000,8.000000
2025-04-17T16:31:31Z,0.000000,0.000000,7.000000
2025-04-17T16:31:32Z,0.000000,0.000000,6.000000
2025-04-17T16:31:33Z,0.000000,0.000000,7.000000
2025-04-17T16:31:34Z,0.000000,0.000000,7.000000
2025-04-17T16:31:35Z,0.000000,0.000000,7.000000
2025-04-17T16:31:36Z,0.000000,0.000000,
2025-04-17T16:31:37Z,0.000000,0.000000,
